section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
240,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Giving false information respecting an offence committed.
241,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,Secreting or destroying any document to prevent its production as evidence.
242,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or se"
243,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture or in satisfaction of a fine"
244,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,"Claiming property without right, or practising deception touching any right to it, to prevent its being taken as a forfe"
245,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfie"
246,Non-cognizable,Bailable,Magistrate of the first class,yes,N on- cognizable.,Bailable.,Magistrate of the first class.,False claim in a Court.
247,,Bailable,,no,N o n - cognizable. N o n - c o g n izable. N o n - cognizable. C o g n i zable.,Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Bailable. ,Magistrate of the first class. Magistrate of the first class. Court of Session. ,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied. False"
252,Cognizable,Bailable,Magistrate of the first class,yes,C o g n izable. C ognizable. C o g n i zable. Cognizable.,Bailable. Bailable. Bailable. Bailable.,Magistrate of the first class. Magistrate of the first class. Magistrate of the ,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing appreh
254,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Harbouring robbers or dacoits.
255,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture."
256,Cognizable,Bailable,Magistrate of the first class,yes,C o g nizable.,Bailable.,Magistrate of the first class.,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfe"
257,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n- cognizable.,Bailable.,Magistrate of the first class.,"Public servant in a judicial proceeding corruptly making and pronouncing an order, report, etc. contrary to law."
258,,,,no,N o n - cognizable. A c c o r d i ng as the offence in relation to which such om,Bailable. Bailable. Bailable. Bailable. Non-bailable. Non-bailable. Bailable.,Magistrate of the first class. Magistrate of the first class. Magistrate of the ,"Commitment for trial or confinement by a person having authority, who knows that he is acting contrary to law. Intention"
